Year,Item,Item Code (CPC),Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha
1961,Apricots,1343,2.0,10.0,50000.0
1961,Avocados,1311,1100.0,16000.0,145455.0
1961,Bananas,1312,40000.0,400000.0,100000.0
1961,Barley,115,12666.0,13513.0,10669.0
1961,"Beans, dry",1701,115000.0,55000.0,4783.0
1961,"Beer of barley, malted",24310.01,,39572.0,
1961,"Cashew nuts, in shell",1372,10000.0,3000.0,3000.0
1961,"Cassava, fresh",1520.01,55000.0,420000.0,76364.0
1961,Castor oil seeds,1447,2300.0,3000.0,13043.0
1961,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1652,3200.0,2500.0,7813.0
1961,"Coconuts, in shell",1460,17000.0,65000.0,38235.0
1961,"Coffee, green",1610,41642.0,28100.0,6748.0
1961,"Cotton lint, ginned",1921.02,,2846.0,
1961,Cotton seed,143,,5995.0,
1961,Cottonseed oil,2168,,780.33,
1961,Dates,1314,150.0,500.0,33333.0
1961,Green garlic,1252,7.0,100.0,142857.0
1961,"Groundnuts, excluding shelled",142,1700.0,1015.0,5971.0
1961,Linseed,1441,454.0,450.0,9912.0
1961,Maize (corn),112,750000.0,940000.0,12533.0
1961,"Mangoes, guavas and mangosteens",1316,150.0,400.0,26667.0
1961,Millet,118,75000.0,130000.0,17333.0
1961,Oats,117,11331.0,4775.0,4214.0
1961,"Onions and shallots, dry (excluding dehydrated)",1253.02,244.0,1219.0,49959.0
1961,Oranges,1323,2000.0,5000.0,25000.0
1961,Papayas,1317,2900.0,30000.0,103448.0
1961,Pineapples,1318,700.0,18000.0,257143.0
1961,Plantains and cooking bananas,1313,1000.0,10000.0,100000.0
1961,Pomelos and grapefruits,1321,400.0,2900.0,72500.0
1961,Potatoes,1510,27000.0,194000.0,71852.0
1961,"Pyrethrum, dried flowers",1930.02,30000.0,9312.0,3104.0
1961,Rice,113,6400.0,14530.0,22703.0
1961,"Seed cotton, unginned",1921.01,38850.0,9068.0,2334.0
1961,Sesame seed,1444,4690.0,1829.0,3900.0
1961,Sorghum,114,150000.0,164000.0,10933.0
1961,Sugar cane,1802,17644.0,525000.0,297552.0
1961,Sunflower seed,1445,5300.0,2134.0,4026.0
1961,Sweet potatoes,1530,25000.0,140000.0,56000.0
1961,Tea leaves,1620,17756.0,12641.0,7119.0
1961,Tomatoes,1234,2100.0,32000.0,152381.0
1961,Unmanufactured tobacco,1970,405.0,448.0,11062.0
1961,Wheat,111,100300.0,109400.0,10907.0
1962,Apricots,1343,2.0,10.0,50000.0
1962,Avocados,1311,1100.0,16000.0,145455.0
1962,Bananas,1312,40000.0,400000.0,100000.0
1962,Barley,115,14001.0,10000.0,7142.0
1962,"Beans, dry",1701,115000.0,55000.0,4783.0
1962,"Beer of barley, malted",24310.01,,39586.0,
1962,"Cashew nuts, in shell",1372,20000.0,7000.0,3500.0
1962,"Cassava, fresh",1520.01,56000.0,430000.0,76786.0
1962,Castor oil seeds,1447,12000.0,3658.0,3048.0
1962,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1652,3200.0,2500.0,7813.0
1962,"Coconuts, in shell",1460,17000.0,65000.0,38235.0
1962,"Coffee, green",1610,71000.0,50000.0,7042.0
1962,"Cotton lint, ginned",1921.02,,1626.0,
1962,Cotton seed,143,,3445.0,
1962,Cottonseed oil,2168,,426.17,
1962,Dates,1314,200.0,600.0,30000.0
1962,Green garlic,1252,7.0,100.0,142857.0
1962,"Groundnuts, excluding shelled",142,3220.0,1930.0,5994.0
1962,Linseed,1441,728.0,730.0,10027.0
1962,Maize (corn),112,900000.0,1100000.0,12222.0
1962,"Mangoes, guavas and mangosteens",1316,150.0,500.0,33333.0
1962,Millet,118,75000.0,130000.0,17333.0
1962,Oats,117,9996.0,1317.0,1318.0
1962,"Onions and shallots, dry (excluding dehydrated)",1253.02,305.0,1524.0,49967.0
1962,Oranges,1323,2000.0,5500.0,27500.0
1962,Papayas,1317,2900.0,30000.0,103448.0
1962,Pineapples,1318,1000.0,28000.0,280000.0
1962,Plantains and cooking bananas,1313,1000.0,10000.0,100000.0
1962,Pomelos and grapefruits,1321,400.0,3000.0,75000.0
1962,Potatoes,1510,27000.0,194000.0,71852.0
1962,"Pyrethrum, dried flowers",1930.02,30000.0,10931.0,3644.0
1962,Rice,113,5800.0,15200.0,26207.0
1962,"Seed cotton, unginned",1921.01,51395.0,5201.0,1012.0
1962,Sesame seed,1444,4170.0,1626.0,3899.0
1962,Sorghum,114,164000.0,180000.0,10976.0
1962,Sugar cane,1802,18129.0,570700.0,314799.0
1962,Sunflower seed,1445,5180.0,1829.0,3531.0
1962,Sweet potatoes,1530,25500.0,150000.0,58824.0
1962,Tea leaves,1620,19893.0,16428.0,8258.0
1962,Tomatoes,1234,2150.0,33000.0,153488.0
1962,Unmanufactured tobacco,1970,400.0,356.0,8900.0
1962,Wheat,111,91400.0,84200.0,9212.0
1963,Apricots,1343,2.0,10.0,50000.0
1963,Avocados,1311,1100.0,16000.0,145455.0
1963,Bananas,1312,40000.0,400000.0,100000.0
1963,Barley,115,12460.0,20000.0,16051.0
1963,"Beans, dry",1701,115000.0,55000.0,4783.0
1963,"Beer of barley, malted",24310.01,,44009.0,
1963,"Cashew nuts, in shell",1372,20000.0,7000.0,3500.0
1963,"Cassava, fresh",1520.01,57000.0,440000.0,77193.0
1963,Castor oil seeds,1447,13000.0,4100.0,3154.0
1963,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1652,3200.0,2500.0,7813.0
1963,"Coconuts, in shell",1460,17000.0,65000.0,38235.0
1963,"Coffee, green",1610,58355.0,40500.0,6940.0
1963,"Cotton lint, ginned",1921.02,,2642.0,
